ID,ERRORTYPE,TITLE,DESCRIPTION,SEVERITY,STEPS
HTTP_401_OAUTH_EXPIRED,HTTP_401_OAUTH_EXPIRED,OAuth Token Expired,The receiver system rejected the request because the OAuth access token is expired or invalid.,HIGH,"[\"Open SAP Integration Suite Monitor and identify the failed message processing log.\",\"Verify the OAuth credential configured in Security Material.\",\"Generate or refresh the OAuth access token from the provider system.\",\"Update the credential artifact and redeploy the iFlow.\",\"Reprocess the failed message and validate successful execution.\"]"
XSLT_NULL_REFERENCE,XSLT_NULL_REFERENCE,XSLT Mapping Null Reference Exception,The integration flow failed because the XSLT mapping attempted to access an XML node or value that was missing or null.,MEDIUM,"[\"Open the failed MPL log and identify the XSLT mapping step.\",\"Download the source payload from attachments for validation.\",\"Check the XSLT script for missing node handling or unsafe XPath expressions.\",\"Add null checks or conditional validations in the XSLT mapping.\",\"Redeploy the iFlow and retest using the same payload.\"]"
HTTP_504_PARTNER_TIMEOUT,HTTP_504_PARTNER_TIMEOUT,Partner Connection Timeout,The receiver system did not respond within the configured timeout duration causing the integration process to fail.,HIGH,"[\"Check whether the receiver application is available and reachable.\",\"Review timeout configuration in the receiver adapter settings.\",\"Verify network connectivity between SAP Integration Suite and the partner endpoint.\",\"Increase timeout values if the receiver processing is expected to take longer.\",\"Retry the failed message after confirming receiver availability.\"]"
SFTP_CONNECTION_REFUSED,SFTP_CONNECTION_REFUSED,SFTP Connection Refused,The SFTP server rejected the incoming connection request due to invalid connectivity or authentication settings.,HIGH,"[\"Verify the SFTP host name, port number, and path configuration.\",\"Check whether the SFTP server is active and accepting connections.\",\"Validate SSH credentials or key-pair authentication configured in Security Material.\",\"Ensure firewall or IP allowlisting rules permit SAP Integration Suite access.\",\"Test the SFTP connection again and reprocess the failed message.\"]"
SSL_HANDSHAKE_CERTIFICATE_EXPIRED,SSL_HANDSHAKE_CERTIFICATE_EXPIRED,Certificate Expiry SSL Handshake Failure,Secure SSL communication failed because the receiver or client certificate has expired or is no longer trusted.,CRITICAL,"[\"Open Keystore Monitor and identify the expired certificate.\",\"Request a renewed certificate from the certificate authority or partner.\",\"Upload the updated certificate into SAP Integration Suite keystore.\",\"Update the relevant communication channel or security artifact.\",\"Redeploy the iFlow and validate SSL connectivity.\"]"
JDBC_CONNECTION_FAILURE,JDBC_CONNECTION_FAILURE,Database Connectivity Failure,The integration flow failed because the target database connection could not be established.,HIGH,"[\"Verify the JDBC endpoint URL and database host availability.\",\"Check the database credentials configured in Security Material.\",\"Ensure the database firewall allows incoming traffic from SAP Integration Suite.\",\"Validate database certificate and SSL configuration if enabled.\",\"Retry the integration scenario after restoring connectivity.\"]"
ODATA_SERVICE_UNAVAILABLE,ODATA_SERVICE_UNAVAILABLE,OData Service Unavailable,The target OData API endpoint is unavailable or returned a service downtime response.,MEDIUM,"[\"Check whether the OData service endpoint is accessible in browser or API client.\",\"Verify SAP backend system health and active service status.\",\"Review authentication and authorization configuration for the OData service.\",\"Inspect SAP Gateway logs for backend processing errors.\",\"Retry the request after the service becomes available.\"]"
PAYLOAD_VALIDATION_ERROR,PAYLOAD_VALIDATION_ERROR,Payload Validation Failed,The incoming message payload does not match the expected schema or mandatory field structure.,MEDIUM,"[\"Download the failed payload from MPL attachments.\",\"Compare the payload structure with the expected schema definition.\",\"Identify missing mandatory fields or invalid data formats.\",\"Correct the payload generation logic in the sender system.\",\"Resend the corrected payload for processing.\"]"
RATE_LIMIT_EXCEEDED,RATE_LIMIT_EXCEEDED,API Rate Limit Exceeded,The target API rejected requests because the allowed transaction threshold was exceeded.,LOW,"[\"Review API provider rate limit policies and quota restrictions.\",\"Check integration scheduling frequency and request burst volume.\",\"Implement retry handling with exponential backoff logic.\",\"Reduce concurrent requests or optimize batch processing.\",\"Reprocess failed messages after the rate limit window resets.\"]"
MESSAGE_MAPPING_FAILURE,MESSAGE_MAPPING_FAILURE,Message Mapping Failure,The message mapping step failed due to transformation inconsistencies or invalid field mappings.,MEDIUM,"[\"Open the message mapping artifact in the integration flow.\",\"Validate source and target structure compatibility.\",\"Check for missing mandatory target fields or datatype mismatches.\",\"Correct mapping logic and retest with sample payloads.\",\"Deploy the updated integration flow and retry processing.\"]"